MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
2020,Acura,ILX,Compact,2.4,4,AM8,Z,9.9,7,8.6,33,199
2020,Acura,MDX SH-AWD,SUV: Small,3.5,6,AS9,Z,12.3,9.2,10.9,26,254
2020,Acura,MDX SH-AWD A-SPEC,SUV: Small,3.5,6,AS9,Z,12.2,9.5,11,26,258
2020,Acura,MDX Hybrid AWD,SUV: Small,3,6,AM7,Z,9.1,9,9,31,210
2020,Acura,RDX AWD,SUV: Small,2,4,AS10,Z,11,8.6,9.9,29,232
2020,Acura,RDX AWD A-SPEC,SUV: Small,2,4,AS10,Z,11.3,9.1,10.3,27,241
2020,Acura,RLX Hybrid,Mid-size,3.5,6,AM7,Z,8.4,8.2,8.4,34,196
2020,Acura,TLX A-SPEC,Compact,2.4,4,AM8,Z,10.2,7.4,8.9,32,209
2020,Acura,TLX SH-AWD,Compact,3.5,6,AS9,Z,11.4,7.7,9.8,29,228
2020,Acura,TLX SH-AWD A-SPEC/Limited Edition,Compact,3.5,6,AS9,Z,12,8.2,10.3,27,240
2020,Alfa Romeo,4C Spider,Two-seater,1.8,4,AM6,Z,9.7,6.9,8.4,34,197
2020,Alfa Romeo,Giulia,Mid-size,2,4,A8,Z,10,7.2,8.7,32,205
2020,Alfa Romeo,Giulia AWD,Mid-size,2,4,A8,Z,10.5,7.7,9.2,31,217
2020,Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.9,6,A8,Z,13.5,9.3,11.6,24,271
2020,Alfa Romeo,Stelvio,SUV: Small,2,4,A8,Z,10.3,8.1,9.3,30,218
2020,Alfa Romeo,Stelvio AWD,SUV: Small,2,4,A8,Z,10.8,8.3,9.6,29,226
2020,Alfa Romeo,Stelvio AWD Quadrifoglio,SUV: Small,2.9,6,A8,Z,13.9,10.3,12.3,23,288
2020,Aston Martin,DB11 V8,Minicompact,4,8,A8,Z,13,9.8,11.5,25,271
2020,Aston Martin,DB11 AMR,Minicompact,5.2,12,A8,Z,15.5,10.6,13.3,21,312
2020,Aston Martin,DBS Superleggera,Minicompact,5.2,12,A8,Z,16.4,10.7,13.8,20,324
2020,Aston Martin,Vantage V8,Two-seater,4,8,A8,Z,13.1,9.6,11.5,25,270
2020,Aston Martin,Vantage V8,Two-seater,4,8,M7,Z,16.7,11.2,14.2,20,333
2020,Audi,A3,Subcompact,2,4,AM7,X,8.8,6.5,7.8,36,182
2020,Audi,A3 quattro,Subcompact,2,4,AM7,X,10.8,8,9.5,30,224
2020,Audi,A3 Cabriolet quattro,Subcompact,2,4,AM7,X,10.8,8,9.5,30,224
2020,Audi,A4 quattro,Compact,2,4,AM7,Z,10,7.3,8.8,32,205
2020,Audi,A4 allroad quattro,Station wagon: Small,2,4,AM7,Z,10,7.4,8.8,32,206
2020,Audi,A5 quattro,Subcompact,2,4,AM7,Z,10,7.3,8.8,32,205
2020,Audi,A5 Cabriolet quattro,Subcompact,2,4,AM7,Z,10,7.4,8.8,32,206
2020,Audi,A5 Sportback quattro,Mid-size,2,4,AM7,Z,10,7.3,8.8,32,205
2020,Audi,A6 quattro ,Mid-size,2,4,AM7,Z,9.8,7.4,8.7,32,205
2020,Audi,A6 quattro ,Mid-size,3,6,AM7,Z,10.9,8.2,9.7,29,227
2020,Audi,A6 allroad ,Station wagon: Mid-size,3,6,AM7,Z,11.8,9.1,10.6,27,247
2020,Audi,A7 quattro,Mid-size,3,6,AM7,Z,10.9,8.2,9.7,29,227
2020,Audi,A8L ,Full-size,3,6,AS8,Z,13.5,8.9,11.5,25,267
2020,Audi,A8L ,Full-size,4,8,AS8,Z,15.4,10.4,13.2,21,308
2020,Audi,Q3 quattro,SUV: Small,2,4,AS8,X,12.3,8.6,10.6,27,248
2020,Audi,Q5,SUV: Small,2,4,AM7,Z,10.7,8.4,9.7,29,226
2020,Audi,Q7,SUV: Standard,2,4,AS8,Z,12.4,10.1,11.3,25,264
2020,Audi,Q7,SUV: Standard,3,6,AS8,Z,13.8,11.4,12.7,22,296
2020,Audi,Q8,SUV: Standard,3,6,AS8,Z,13.8,11.4,12.7,22,296
2020,Audi,R8 Coupe,Two-seater,5.2,10,AM7,Z,17.5,11.7,14.9,19,347
2020,Audi,R8 Spyder,Two-seater,5.2,10,AM7,Z,17.5,11.7,14.9,19,347
2020,Audi,RS 3,Subcompact,2.5,5,AM7,Z,12.1,8.4,10.4,27,243
2020,Audi,RS Q8,SUV: Standard,4,8,AS8,Z,18,12.3,15.4,18,360
2020,Audi,S3,Subcompact,2,4,AM7,Z,10.7,8,9.5,30,222
2020,Audi,S4,Compact,3,6,AS8,Z,11.8,8.9,10.5,27,245
2020,Audi,S5,Subcompact,3,6,AS8,Z,11.8,8.9,10.5,27,245
2020,Audi,S5 Cabriolet,Subcompact,3,6,AS8,Z,12.1,9.1,10.8,26,252
2020,Audi,S5 Sportback,Mid-size,3,6,AS8,Z,11.8,8.9,10.5,27,245
2020,Audi,S6,Mid-size,2.9,6,AS8,Z,12.9,8.5,10.9,26,255
2020,Audi,S7,Mid-size,2.9,6,AS8,Z,12.9,8.5,10.9,26,255
2020,Audi,S8,Full-size,4,8,AS8,Z,17.6,10.7,14.5,19,339
2020,Audi,SQ5,SUV: Small,3,6,AS8,Z,13.1,10.3,11.8,24,276
2020,Audi,SQ7,SUV: Standard,4,8,AS8,Z,16,11,13.7,21,321
2020,Audi,SQ8,SUV: Standard,4,8,AS8,Z,15.8,11.4,13.8,20,322
2020,Audi,TT Coupe quattro,Subcompact,2,4,AM7,X,10.3,7.7,9.1,31,213
2020,Audi,TT Roadster quattro,Two-seater,2,4,AM7,X,10.3,7.7,9.1,31,213
2020,Audi,TT RS,Subcompact,2.5,5,AM7,Z,12.1,8.2,10.3,27,241
2020,Audi,TTS Coupe,Subcompact,2,4,AM7,Z,10.4,8.2,9.4,30,220
2020,Bentley,Bentayga,SUV: Standard,4,8,AS8,Z,16.4,10.1,13.6,21,315
2020,Bentley,Bentayga,SUV: Standard,6,12,AS8,Z,20,13.8,17.2,16,401
2020,Bentley,Continental GT,Compact,4,8,AM8,Z,15.1,9.1,12.4,23,291
2020,Bentley,Continental GT,Compact,6,12,AM8,Z,19,11.6,15.7,18,364
2020,Bentley,Continental GT Convertible,Subcompact,4,8,AM8,Z,15.1,9.1,12.4,23,291
2020,Bentley,Continental GT Convertible,Subcompact,6,12,AM8,Z,19.2,12.2,16,18,373
2020,Bentley,Flying Spur,Mid-size,6,12,AM8,Z,19.2,12.2,16,18,373
2020,Bentley,Mulsanne,Mid-size,6.8,8,AS8,Z,24.5,14.4,20,14,465
2020,BMW,228i xDrive Gran Coupe,Compact,2,4,AS8,Z,10.2,7.2,8.8,32,205
2020,BMW,230i Cabriolet,Subcompact,2,4,AS8,Z,10.1,7,8.7,32,204
2020,BMW,230i xDrive Cabriolet,Subcompact,2,4,AS8,Z,10.9,7.5,9.4,30,219
2020,BMW,230i Coupe,Subcompact,2,4,AS8,Z,9.5,7.4,8.5,33,200
2020,BMW,230i xDrive Coupe,Subcompact,2,4,AS8,Z,10.9,7.5,9.4,30,219
2020,BMW,330i xDrive Sedan,Compact,2,4,AS8,Z,9.5,6.9,8.3,34,195
2020,BMW,430i xDrive Cabriolet,Subcompact,2,4,AS8,Z,10.6,7.3,9.1,31,213
2020,BMW,430i Coupe,Compact,2,4,AS8,Z,10.1,7,8.7,32,204
2020,BMW,430i xDrive Coupe,Compact,2,4,AS8,Z,10.9,7.5,9.4,30,219
2020,BMW,430i xDrive Gran Coupe,Compact,2,4,AS8,Z,10.9,7.5,9.4,30,219
2020,BMW,440i xDrive Cabriolet,Subcompact,3,6,AS8,Z,12.4,8.5,10.7,26,249
2020,BMW,440i Coupe,Compact,3,6,AS8,Z,11.4,8.1,9.9,29,231
2020,BMW,440i xDrive Coupe,Compact,3,6,AS8,Z,11.4,8.3,10,28,233
2020,BMW,440i xDrive Coupe,Compact,3,6,M6,Z,13,8.5,11,26,257
2020,BMW,440i xDrive Gran Coupe,Compact,3,6,AS8,Z,11.4,8.3,10,28,233
2020,BMW,530i xDrive Sedan,Mid-size,2,4,AS8,Z,9.9,7.5,8.8,32,206
2020,BMW,540i xDrive Sedan,Mid-size,3,6,AS8,Z,10.7,8.1,9.5,30,222
2020,BMW,750i xDrive Sedan,Full-size,4.4,8,AS8,Z,14.5,9.9,12.4,23,290
2020,BMW,750Li xDrive Sedan,Full-size,4.4,8,AS8,Z,14.5,9.9,12.4,23,290
2020,BMW,Alpina B7 xDrive,Full-size,4.4,8,AS8,Z,14.5,9.9,12.4,23,290
2020,BMW,M2 Competition,Subcompact,3,6,AM7,Z,14.1,10.3,12.4,23,290
2020,BMW,M2 Competition,Subcompact,3,6,M6,Z,13.4,9.6,11.7,24,273
2020,BMW,M235i xDrive Gran Coupe,Compact,2,4,AS8,Z,10.3,7.3,9,31,208
2020,BMW,M240i Cabriolet,Subcompact,3,6,AS8,Z,11.4,8.1,9.9,29,231
2020,BMW,M240i Cabriolet,Subcompact,3,6,M6,Z,12.7,8.8,10.9,26,255
2020,BMW,M240i xDrive Cabriolet,Subcompact,3,6,AS8,Z,11.4,8.3,10,28,233
2020,BMW,M240i Coupe,Subcompact,3,6,AS8,Z,11.4,8.1,9.9,29,231
2020,BMW,M240i Coupe M Performance,Subcompact,3,6,AS8,Z,11.4,8.1,9.9,29,231
2020,BMW,M240i Coupe,Subcompact,3,6,M6,Z,12.7,8.8,10.9,26,255
2020,BMW,M240i Coupe M Performance,Subcompact,3,6,M6,Z,12.7,8.8,10.9,26,255
2020,BMW,M240i xDrive Coupe,Subcompact,3,6,AS8,Z,11.4,8.3,10,28,233
2020,BMW,M240i xDrive Coupe M Performance,Subcompact,3,6,AS8,Z,11.4,8.3,10,28,233
2020,BMW,M340i xDrive Sedan,Compact,3,6,AS8,Z,11.4,8.3,10,28,233
2020,BMW,M4 Cabriolet,Subcompact,3,6,AM7,Z,14.5,10.5,12.7,22,299
2020,BMW,M4 Cabriolet Competition,Subcompact,3,6,AM7,Z,14.5,10.5,12.7,22,299
2020,BMW,M4 Cabriolet,Subcompact,3,6,M6,Z,13.8,9.4,11.9,24,280
2020,BMW,M4 Cabriolet Competition,Subcompact,3,6,M6,Z,13.8,9.4,11.9,24,280
2020,BMW,M4 Coupe,Compact,3,6,AM7,Z,14.1,10.3,12.4,23,290
2020,BMW,M4 Coupe Competition,Compact,3,6,AM7,Z,14.1,10.3,12.4,23,290
2020,BMW,M4 Coupe,Compact,3,6,M6,Z,13.4,9.6,11.7,24,273
2020,BMW,M4 Coupe Competition,Compact,3,6,M6,Z,13.4,9.6,11.7,24,273
2020,BMW,M4 CS,Compact,3,6,AM7,Z,14.1,10.3,12.4,23,290
2020,BMW,M5 Sedan,Mid-size,4.4,8,AS8,Z,16,11,13.8,20,322
2020,BMW,M5 Competition,Mid-size,4.4,8,AS8,Z,16,11,13.8,20,322
2020,BMW,M550i xDrive Sedan,Mid-size,4.4,8,AS8,Z,13.6,9.3,11.7,24,273
2020,BMW,M760i xDrive Sedan,Full-size,6.6,12,AS8,Z,17.8,11.9,15.1,19,354
2020,BMW,M8 Cabriolet,Subcompact,4.4,8,AS8,Z,16,11,13.8,20,322
2020,BMW,M8 Cabriolet Competition,Subcompact,4.4,8,AS8,Z,16,11,13.8,20,322
2020,BMW,M8 Coupe,Subcompact,4.4,8,AS8,Z,16,11,13.8,20,322
2020,BMW,M8 Coupe Competition,Subcompact,4.4,8,AS8,Z,16,11,13.8,20,322
2020,BMW,M8 Gran Coupe,Mid-size,4.4,8,AS8,Z,16,11,13.8,20,322
2020,BMW,M8 Gran Coupe Competition,Mid-size,4.4,8,AS8,Z,16,11,13.8,20,322
2020,BMW,M850i xDrive Cabriolet,Subcompact,4.4,8,AS8,Z,14.5,9.9,12.4,23,290
2020,BMW,M850i xDrive Coupe,Subcompact,4.4,8,AS8,Z,13.6,9.3,11.7,24,273
2020,BMW,M850i xDrive Gran Coupe,Mid-size,4.4,8,AS8,Z,14.5,9.9,12.4,23,290
2020,BMW,X1 xDrive28i,SUV: Small,2,4,AS8,Z,10.3,7.7,9.1,31,213
2020,BMW,X2 xDrive28i,SUV: Small,2,4,AS8,Z,9.9,7.6,8.8,32,207
2020,BMW,X2 M35i,SUV: Small,2,4,AS8,Z,10,7.8,9,31,210
2020,BMW,X3 xDrive30i,SUV: Small,2,4,AS8,Z,10,8.2,9.2,31,215
2020,BMW,X3 M,SUV: Small,3,6,AS8,Z,16.6,12.1,14.6,19,339
2020,BMW,X3 M Competition,SUV: Small,3,6,AS8,Z,16.6,12.1,14.6,19,339
2020,BMW,X3 M40i,SUV: Small,3,6,AS8,Z,11.3,8.7,10.1,28,235
2020,BMW,X4 xDrive30i,SUV: Small,2,4,AS8,Z,10,8.2,9.2,31,215
2020,BMW,X4 M,SUV: Small,3,6,AS8,Z,16.6,12.1,14.6,19,339
2020,BMW,X4 M Competition,SUV: Small,3,6,AS8,Z,16.6,12.1,14.6,19,339
2020,BMW,X4 M40i,SUV: Small,3,6,AS8,Z,11.3,8.7,10.1,28,235
2020,BMW,X5 xDrive40i,SUV: Standard,3,6,AS8,Z,11.7,9.1,10.5,27,245
2020,BMW,X5 xDrive50i,SUV: Standard,4.4,8,AS8,Z,14.5,10.7,12.8,22,302
2020,BMW,X5 M50i,SUV: Standard,4.4,8,AS8,Z,14.5,10.7,12.8,22,302
2020,BMW,X6 xDrive40i,SUV: Standard,3,6,AS8,Z,11.7,9.1,10.5,27,245
2020,BMW,X6 M50i,SUV: Standard,4.4,8,AS8,Z,14.5,10.7,12.8,22,302
2020,BMW,X7 xDrive40i,SUV: Standard,3,6,AS8,Z,12,9.4,10.8,26,254
2020,BMW,X7 xDrive50i,SUV: Standard,4.4,8,AS8,Z,15.5,11.4,13.6,21,318
2020,BMW,X7 M50i,SUV: Standard,4.4,8,AS8,Z,15.5,11.4,13.6,21,318
2020,BMW,Z4 sDrive30i,Two-seater,2,4,AS8,Z,9.5,7.4,8.5,33,200
2020,BMW,Z4 M40i,Two-seater,3,6,AS8,Z,10.3,8,9.3,30,216
2020,Bugatti,Chiron,Two-seater,8,16,AM7,Z,26.8,16.6,22.2,13,522
2020,Bugatti,Divo,Two-seater,8,16,AM7,Z,27.2,18,23,12,537
2020,Buick,Enclave,SUV: Standard,3.6,6,A9,X,13,9.1,11.2,25,263
2020,Buick,Enclave AWD,SUV: Standard,3.6,6,A9,X,13.6,9.6,11.8,24,277
2020,Buick,Encore,SUV: Small,1.4,4,AS6,X,9.4,7.8,8.7,32,204
2020,Buick,Encore AWD,SUV: Small,1.4,4,AS6,X,10,8,9.1,31,214
2020,Buick,Encore GX,SUV: Small,1.2,3,AV,X,9,7.7,8.4,34,198
2020,Buick,Encore GX AWD,SUV: Small,1.3,3,A9,X,9,8,8.5,33,199
2020,Buick,Envision AWD,SUV: Small,2,4,A9,Z,11.7,9.4,10.7,26,250
2020,Buick,Envision AWD,SUV: Small,2.5,4,A6,X,11.1,8.6,10,28,234
2020,Buick,Regal,Mid-size,2,4,AS9,Z,10.3,7.4,9,31,211
2020,Buick,Regal AWD,Mid-size,2,4,AS8,Z,11,8,9.6,29,227
2020,Buick,Regal AWD,Mid-size,3.6,6,AS9,X,12.5,8.8,10.9,26,255
2020,Cadillac,CT4,Compact,2,4,AS8,Z,10.1,6.8,8.7,32,203
2020,Cadillac,CT4,Compact,2.7,4,AS10,Z,11.5,8,9.9,29,232
2020,Cadillac,CT4 AWD,Compact,2,4,AS8,Z,10.4,7.4,9.1,31,213
2020,Cadillac,CT4 AWD,Compact,2.7,4,AS10,Z,11.7,8.4,10.2,28,238
2020,Cadillac,CT4-V,Compact,2.7,4,AS10,Z,11.5,8.2,10,28,234
2020,Cadillac,CT4-V AWD,Compact,2.7,4,AS10,Z,11.7,8.4,10.2,28,238
2020,Cadillac,CT5,Mid-size,2,4,AS10,Z,10.4,7.3,9,31,209
2020,Cadillac,CT5,Mid-size,3,6,AS10,Z,12.6,9.1,11,26,256
2020,Cadillac,CT5 AWD,Mid-size,2,4,AS10,Z,11,7.7,9.5,30,221
2020,Cadillac,CT5 AWD,Mid-size,3,6,AS10,Z,13.3,9.3,11.5,25,268
2020,Cadillac,CT5-V,Mid-size,3,6,AS10,Z,13.1,9.1,11.3,25,263
2020,Cadillac,CT5-V AWD,Mid-size,3,6,AS10,Z,13.8,9.4,11.8,24,276
2020,Cadillac,CT6 AWD,Full-size,3.6,6,AS10,X,12.9,8.7,11,26,259
2020,Cadillac,CT6 AWD,Full-size,4.2,8,AS10,Z,17.3,9.5,13.8,20,324
2020,Cadillac,Escalade 4WD,SUV: Standard,6.2,8,A10,Z,16.7,11.1,14.2,20,333
2020,Cadillac,XT4,SUV: Small,2,4,AS9,Z,9.8,7.8,8.9,32,209
2020,Cadillac,XT4 AWD,SUV: Small,2,4,AS9,Z,10.9,8.2,9.7,29,227
2020,Cadillac,XT5,SUV: Small,2,4,AS9,Z,11,8.3,9.8,29,227
2020,Cadillac,XT5 AWD,SUV: Small,2,4,AS9,Z,11.2,8.9,10.1,28,235
2020,Cadillac,XT5 AWD,SUV: Small,3.6,6,AS9,X,13.4,9.4,11.6,24,270
2020,Cadillac,XT6 AWD,SUV: Small,3.6,6,AS9,X,13.5,9.7,11.8,24,277
2020,Chevrolet,Blazer,SUV: Small,2,4,A9,X,11,8.3,9.8,29,225
2020,Chevrolet,Blazer,SUV: Small,2.5,4,A9,X,11.3,8.9,10.2,28,238
2020,Chevrolet,Blazer AWD,SUV: Small,2,4,A9,X,11.3,8.7,10.1,28,232
2020,Chevrolet,Blazer AWD,SUV: Small,3.6,6,A9,X,13.1,9.4,11.4,25,269
2020,Chevrolet,Camaro,Subcompact,2,4,AS8,Z,10.9,7.6,9.4,30,219
2020,Chevrolet,Camaro,Subcompact,2,4,M6,Z,11.9,7.9,10.1,28,235
2020,Chevrolet,Camaro,Subcompact,3.6,6,AS10,X,12.5,8.1,10.5,27,247
2020,Chevrolet,Camaro,Subcompact,3.6,6,M6,X,14.3,9,11.9,24,280
2020,Chevrolet,Camaro SS,Subcompact,6.2,8,AS10,Z,14.6,8.9,12.1,23,282
2020,Chevrolet,Camaro SS,Subcompact,6.2,8,M6,Z,14.9,9.9,12.6,22,296
2020,Chevrolet,Camaro ZL1,Subcompact,6.2,8,AS10,Z,18.3,11.2,15.1,19,355
2020,Chevrolet,Camaro ZL1,Subcompact,6.2,8,M6,Z,17.2,12,14.8,19,349
2020,Chevrolet,Colorado,Pickup truck: Small,2.5,4,A6,X,12.1,9.2,10.8,26,252
2020,Chevrolet,Colorado,Pickup truck: Small,2.8,4,A6,D,11.8,7.9,10.1,28,270
2020,Chevrolet,Colorado,Pickup truck: Small,3.6,6,A8,X,13.4,9.6,11.7,24,273
2020,Chevrolet,Colorado 4WD,Pickup truck: Small,2.5,4,A6,X,12.6,9.7,11.3,25,265
2020,Chevrolet,Colorado 4WD,Pickup truck: Small,2.8,4,A6,D,12.3,8.5,10.6,27,284
2020,Chevrolet,Colorado 4WD,Pickup truck: Small,3.6,6,A8,X,14,9.9,12.2,23,286
2020,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,2.8,4,A6,D,13.3,10.6,12.1,23,326
2020,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,3.6,6,A8,X,15,13,14.1,20,331
2020,Chevrolet,Corvette,Two-seater,6.2,8,AS8,Z,15.4,8.7,12.4,23,290
2020,Chevrolet,Equinox,SUV: Small,1.5,4,A6,X,8.9,7.7,8.4,34,196
2020,Chevrolet,Equinox AWD,SUV: Small,1.5,4,A6,X,9.3,8,8.7,32,204
2020,Chevrolet,Equinox AWD,SUV: Small,2,4,A9,Z,10.9,8.3,9.7,29,228
2020,Chevrolet,Impala,Full-size,3.6,6,AS6,X,12.8,8.5,10.9,26,255
2020,Chevrolet,Impala,Full-size,3.6,6,AS6,E,17.2,11.6,14.7,19,246
2020,Chevrolet,Malibu,Mid-size,1.5,4,AV,X,8.2,6.6,7.5,38,189
2020,Chevrolet,Malibu,Mid-size,2,4,A9,Z,10.5,7.4,9.1,31,214
2020,Chevrolet,Silverado,Pickup truck: Standard,2.7,4,A8,X,11.9,10.3,11.1,25,262
2020,Chevrolet,Silverado WT,Pickup truck: Standard,2.7,4,A8,X,12.5,10.8,11.7,24,275
2020,Chevrolet,Silverado,Pickup truck: Standard,3,6,A10,D,10.2,7.2,8.9,32,238
2020,Chevrolet,Silverado,Pickup truck: Standard,4.3,6,A6,X,15.1,11.5,13.5,21,318
2020,Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A6,X,15.9,11.4,13.9,20,326
2020,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,X,16,12.6,14.4,20,339
2020,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,E,22.2,16.2,19.5,14,326
2020,Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A8,X,13.9,10.1,12.2,23,286
2020,Chevrolet,Silverado 4WD,Pickup truck: Standard,2.7,4,A8,X,12.5,10.8,11.7,24,275
2020,Chevrolet,Silverado WT 4WD,Pickup truck: Standard,2.7,4,A8,X,12.7,11,12,24,280
2020,Chevrolet,Silverado 4WD,Pickup truck: Standard,3,6,A10,D,10.4,8,9.4,30,252
2020,Chevrolet,Silverado 4WD,Pickup truck: Standard,4.3,6,A6,X,15.7,12,14.1,20,331
2020,Chevrolet,Silverado 4WD Custom Trail Boss,Pickup truck: Standard,4.3,6,A6,X,16.3,12.9,14.8,19,349
2020,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A6,X,15.9,11.8,14.1,20,331
2020,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,X,16.6,13,15,19,350
2020,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,E,22.3,18.1,20.5,14,342
2020,Chevrolet,Silverado 4WD Custom Trail Boss,Pickup truck: Standard,5.3,8,A6,X,16.7,13.1,15.1,19,354
2020,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A8,X,14.7,10.7,12.9,22,303
2020,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A10,X,14.3,10.6,12.6,22,296
2020,Chevrolet,Silverado 4WD LT Trail Boss,Pickup truck: Standard,5.3,8,A10,X,14.7,11.2,13.1,22,307
